태균이형 잘생겼음
음쥬 운전 요즘도 하나. . 적당히 하세요 방송에 나오는것도 참 기적이야
좀 먹는소리좀 많이거슬림
앞으로 너무 기대된단 ㅎㅎ 광재도 합류해야지 ㅎㅎ
아~~~~정말. 너무좋아요!
태균이형 경기장에서의 모습이 아니고 천진한(?) 약간 투머치 ㅋㅋ 보기좋습니다
갓강찬희ㅎ
앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아이러스에서 현웃터졌넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
완전재미있다 ㅎㅎ ㅎ 구독엄지척
너무 재밌다 진짜 ㅋㅋㅋㅋㅎㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
두분이서 케미가 좋네요ㅋㅋㅋㅋㅋㅋ
They are so funny
크윽
현주엽님은티라노같아요고기드실때는
두 분 너무 잘어울린다 ㅋㅋㅋㅋ 김태균씨가 선배들한테 그렇게 잘한다는데 더 까불어도 될 듯 ㅋㅋㅋ
ㅋㅋ 태균이 저러다가 히포엉아한테 한대 맞겠네
07:06 이 분 예전에 1박2일 카메라맨이셨는데 여기서 뵙네요 ㅎㅎ
08:11 아 존나 웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
"5:04 ""기다릴 순 있어요?"" 이게 왜래 웃기냐 ㅋㅋㅋㅋㅋ"
흔한 먹방비제이처럼 나 많이 먹어요가 아니라 진짜 음식을 즐기면서 개처먹듯이 먹으니까 재밋네요
대호 먹방 시작하면 ~~^^
ㅋㅋㅋㅋ미친조합이다
